Term 1,Term 2,Term 3,Frequency of Trigram,"Frequency of Context (Term 1, Term 2)",Conditional Probability
con,frida,para,1,1,1.0
lo,otro,y,1,1,1.0
otro,y,ya,1,1,1.0
equipo,con,frida,1,1,1.0
y,ya,checo,1,11,0.09090909090909091
en,equipo,con,1,2,0.5
ya,checo,igual,1,1,1.0
checo,igual,eso,1,1,1.0
igual,eso,>,1,1,1.0
ya,quedó,redactado,1,6,0.16666666666666666
quedó,redactado,lo,1,1,1.0
redactado,lo,>,1,1,1.0
<,primero,>,1,1,1.0
tocó,en,equipo,1,1,1.0
le,tocó,en,1,1,1.0
que,le,tocó,1,5,0.2
creo,que,le,1,21,0.047619047619047616
rafa,?,>,1,1,1.0
jajaj,ya,es,1,1,1.0
si,jajaj,ya,1,2,0.5
pues,si,jajaj,1,8,0.125
explicamos,bien,jajaja,1,1,1.0
si,llegas,",",1,1,1.0
por,si,llegas,1,7,0.14285714285714285
mmmm,pues,es,1,2,0.5
es,que,podría,1,29,0.034482758620689655
jajaja,por,si,1,2,0.5
que,podría,ser,1,1,1.0
de,las,carreras,1,10,0.1
maestra,jajaja,por,1,1,1.0
las,carreras,",",1,1,1.0
carreras,",",que,1,1,1.0
",",que,si,1,1,1.0
la,maestra,jajaja,1,3,0.3333333333333333
que,si,depende,1,15,0.06666666666666667
si,depende,de,1,1,1.0
depende,de,la,1,1,1.0
puerta,la,maestra,1,1,1.0
la,puerta,la,1,1,1.0
la,carrera,en,1,2,0.5
carrera,en,la,1,1,1.0
en,la,que,1,7,0.14285714285714285
la,que,estás,1,1,1.0
llegas,",",para,1,1,1.0
",",para,que,1,2,0.5
estás,si,eres,1,1,1.0
lo,explicamos,bien,1,1,1.0
<,pues,creo,1,4,0.25
ni,nada,xd,1,1,1.0
datos,no,?,1,1,1.0
toques,ni,nada,1,1,1.0
no,toques,ni,1,1,1.0
que,no,toques,1,14,0.07142857142857142
no,sé,que,1,9,0.1111111111111111
sé,que,tanto,1,1,1.0
que,tanto,se,1,1,1.0
tanto,se,podría,1,1,1.0
se,podría,explicar,1,1,1.0
explicar,de,eso,1,1,1.0
de,eso,porque,1,2,0.5
eso,porque,según,1,1,1.0
porque,según,yo,1,2,0.5
según,yo,eso,1,4,0.25
yo,eso,sí,1,1,1.0
eso,sí,ya,1,1,1.0
sí,ya,lo,1,1,1.0
ya,lo,explicamos,1,3,0.3333333333333333
para,que,no,1,6,0.16666666666666666
