Term 1,Term 2,Frequency of Bigram,Frequency of Context (Term 1),Conditional Probability
sacaaaaa,>,2,2,1.0
hay,una,2,14,0.14285714285714285
una,churreria,2,16,0.125
jajajqj,>,2,2,1.0
<,ekis,2,1654,0.0012091898428053204
habia,visto,2,7,0.2857142857142857
si,jajaj,2,162,0.012345679012345678
bro,>,2,2,1.0
kisiese,>,2,3,0.6666666666666666
<,kisiese,2,1654,0.0012091898428053204
orita,>,2,4,0.5
se,le,2,56,0.03571428571428571
es,vdd,2,67,0.029850746268656716
<,una,2,1654,0.0012091898428053204
go,>,2,5,0.4
no,tanto,2,152,0.013157894736842105
examen,de,2,8,0.25
y,de,2,57,0.03508771929824561
de,hoy,2,108,0.018518518518518517
el,roblo,2,43,0.046511627906976744
ekis,>,2,3,0.6666666666666666
esta,?,2,25,0.08
los,de,2,24,0.08333333333333333
aca,igual,2,7,0.2857142857142857
<,busca,2,1654,0.0012091898428053204
hacer,tarea,2,5,0.4
<,jajajqj,2,1654,0.0012091898428053204
crees,>,2,2,1.0
tengo,sueño,2,24,0.08333333333333333
una,ai,2,16,0.125
sueño,>,2,3,0.6666666666666666
ya,le,2,96,0.020833333333333332
mucho,>,2,8,0.25
tanto,>,2,2,1.0
:(,>,2,2,1.0
entendi,>,2,3,0.6666666666666666
chikas,>,2,2,1.0
he,visto,2,8,0.25
dije,q,2,4,0.5
q,luego,2,164,0.012195121951219513
q,le,2,164,0.012195121951219513
q,mal,2,164,0.012195121951219513
ser,>,2,4,0.5
ve,sp,2,7,0.2857142857142857
me,acuerdo,2,81,0.024691358024691357
o,algo,2,22,0.09090909090909091
yo,creo,2,31,0.06451612903225806
🧒,>,2,2,1.0
acuerdo,>,2,2,1.0
meh,>,2,2,1.0
que,bueno,2,38,0.05263157894736842
<,🧒,2,1654,0.0012091898428053204
💋,>,2,4,0.5
algo,?,2,10,0.2
el,de,2,43,0.046511627906976744
noo,>,2,2,1.0
puelo,>,2,2,1.0
<,provechito,2,1654,0.0012091898428053204
provechito,>,2,2,1.0
dormi,bien,2,3,0.6666666666666666
acepto,>,2,2,1.0
q,pasa,2,164,0.012195121951219513
nemonemo,?,2,3,0.6666666666666666
corre,>,2,2,1.0
sign,>,2,2,1.0
<,sheesh,2,1654,0.0012091898428053204
que,?,2,38,0.05263157894736842
al,rato,2,10,0.2
se,hace,2,56,0.03571428571428571
año,>,2,3,0.6666666666666666
del,año,2,8,0.25
sheesh,>,2,2,1.0
te,parece,2,40,0.05
💋,💋,2,4,0.5
perdone,>,2,2,1.0
de,ellas,2,108,0.018518518518518517
lo,habia,2,41,0.04878048780487805
mimi,bien,2,5,0.4
eii,>,2,3,0.6666666666666666
joven,>,2,2,1.0
sola,>,2,2,1.0
acorde,de,2,3,0.6666666666666666
q,ella,2,164,0.012195121951219513
o,q,2,22,0.09090909090909091
<,oraaa,2,1654,0.0012091898428053204
de,queso,2,108,0.018518518518518517
oraaa,>,2,2,1.0
dice,>,2,4,0.5
hay,?,2,14,0.14285714285714285
pero,x,2,71,0.028169014084507043
pero,tmb,2,71,0.028169014084507043
digo,q,2,5,0.4
<,joder,2,1654,0.0012091898428053204
<,ja,2,1654,0.0012091898428053204
bp,>,2,2,1.0
lo,venden,2,41,0.04878048780487805
hecho,creo,2,8,0.25
<,💋,2,1654,0.0012091898428053204
a,ver,2,81,0.024691358024691357
4,>,2,2,1.0
muy,bn,2,13,0.15384615384615385
",",asi,2,60,0.03333333333333333
la,de,2,74,0.02702702702702703
te,digo,2,40,0.05
entiendo,>,2,3,0.6666666666666666
<,kien,2,1654,0.0012091898428053204
va,la,2,18,0.1111111111111111
komo,>,2,2,1.0
pero,yo,2,71,0.028169014084507043
pure,de,2,2,1.0
el,grupo,2,43,0.046511627906976744
<,komo,2,1654,0.0012091898428053204
<,okok,2,1654,0.0012091898428053204
la,primera,2,74,0.02702702702702703
<,vdd,2,1654,0.0012091898428053204
toy,cansaa,2,4,0.5
di,k,2,2,1.0
onta,?,2,2,1.0
<,sigo,2,1654,0.0012091898428053204
vamos,a,2,3,0.6666666666666666
no,los,2,152,0.013157894736842105
<,oki,2,1654,0.0012091898428053204
baemon,>,2,3,0.6666666666666666
se,ven,2,56,0.03571428571428571
<,por,2,1654,0.0012091898428053204
cansaa,>,2,2,1.0
ya,dormire,2,96,0.020833333333333332
dormire,>,2,2,1.0
te,lo,2,40,0.05
no,tiene,2,152,0.013157894736842105
<,adios,2,1654,0.0012091898428053204
adios,>,2,2,1.0
<,onta,2,1654,0.0012091898428053204
botate,>,2,2,1.0
<,noo,2,1654,0.0012091898428053204
<,deberian,2,1654,0.0012091898428053204
vdd,q,2,14,0.14285714285714285
pues,ya,2,8,0.25
se,q,2,56,0.03571428571428571
tabn,>,2,3,0.6666666666666666
q,mañana,2,164,0.012195121951219513
",",ya,2,60,0.03333333333333333
mañana,si,2,18,0.1111111111111111
<,ahorita,2,1654,0.0012091898428053204
si,a,2,162,0.012345679012345678
ahorita,ya,2,4,0.5
<,jajjaja,2,1654,0.0012091898428053204
y,q,2,57,0.03508771929824561
no,la,2,152,0.013157894736842105
mejor,mañana,2,12,0.16666666666666666
jigumis,>,2,2,1.0
anda,di,2,4,0.5
lo,cambie,2,41,0.04878048780487805
cambie,>,2,2,1.0
cayo,muy,2,2,1.0
ya,toy,2,96,0.020833333333333332
la,tesis,2,74,0.02702702702702703
tarea,de,2,7,0.2857142857142857
si,jajajaj,2,162,0.012345679012345678
<,frey,2,1654,0.0012091898428053204
ya,estamos,2,96,0.020833333333333332
<,jajajj,2,1654,0.0012091898428053204
jajajj,>,2,2,1.0
go,go,2,5,0.4
en,lo,2,54,0.037037037037037035
<,jajajajajaj,2,1654,0.0012091898428053204
jajajajajaj,>,2,2,1.0
asi,en,2,20,0.1
<,jajajajajajaja,2,1654,0.0012091898428053204
que,le,2,38,0.05263157894736842
tiene,25,2,9,0.2222222222222222
pero,esta,2,71,0.028169014084507043
me,la,2,81,0.024691358024691357
si,esta,2,162,0.012345679012345678
",",si,2,60,0.03333333333333333
y,ps,2,57,0.03508771929824561
cacheteo,>,2,2,1.0
<,nos,2,1654,0.0012091898428053204
ya,nada,2,96,0.020833333333333332
master,>,2,3,0.6666666666666666
canon,>,2,2,1.0
<,ey,2,1654,0.0012091898428053204
van,a,2,2,1.0
nomas,>,2,11,0.18181818181818182
<,fue,2,1654,0.0012091898428053204
se,te,2,56,0.03571428571428571
<,eh,2,1654,0.0012091898428053204
en,q,2,54,0.037037037037037035
<,noooo,2,1654,0.0012091898428053204
noooo,>,2,2,1.0
para,mañana,2,11,0.18181818181818182
no,puelo,2,152,0.013157894736842105
le,entendi,2,18,0.1111111111111111
pero,si,2,71,0.028169014084507043
<,roblox,2,1654,0.0012091898428053204
<,estoy,2,1654,0.0012091898428053204
es,🍐,2,67,0.029850746268656716
🍐,>,2,2,1.0
azucar,>,2,2,1.0
para,mi,2,11,0.18181818181818182
ayuda,>,2,3,0.6666666666666666
pq,dices,2,23,0.08695652173913043
me,enseñas,2,81,0.024691358024691357
dices,eso,2,6,0.3333333333333333
noooombre,>,2,2,1.0
<,noooombre,2,1654,0.0012091898428053204
cajeta,>,2,2,1.0
hay,>,2,14,0.14285714285714285
na,>,2,2,1.0
<,mucho,2,1654,0.0012091898428053204
<,siento,2,1654,0.0012091898428053204
como,?,2,20,0.1
puedo,>,2,3,0.6666666666666666
<,cual,2,1654,0.0012091898428053204
¿,>,2,2,1.0
jajajaj,no,2,51,0.0392156862745098
q,ni,2,164,0.012195121951219513
pense,q,2,2,1.0
siii,",",2,36,0.05555555555555555
",",esta,2,60,0.03333333333333333
22,>,2,2,1.0
bn,feo,2,25,0.08
no,cierto,2,152,0.013157894736842105
no,puedo,2,152,0.013157894736842105
bn,pero,2,25,0.08
soñe,nd,2,5,0.4
<,ando,2,1654,0.0012091898428053204
dame,>,2,3,0.6666666666666666
mimir,>,2,2,1.0
te,perdono,2,40,0.05
essss,>,2,2,1.0
se,",",2,56,0.03571428571428571
si,le,2,162,0.012345679012345678
jajajajja,>,2,2,1.0
a,los,2,81,0.024691358024691357
no,",",2,152,0.013157894736842105
",",la,2,60,0.03333333333333333
<,akiora,2,1654,0.0012091898428053204
perdono,>,2,2,1.0
estan,bn,2,7,0.2857142857142857
semana,>,2,4,0.5
un,examen,2,29,0.06896551724137931
esta,semana,2,25,0.08
es,lo,2,67,0.029850746268656716
pq,tengo,2,23,0.08695652173913043
lastima,q,2,2,1.0
<,lastima,2,1654,0.0012091898428053204
<,jajajajja,2,1654,0.0012091898428053204
es,algo,2,67,0.029850746268656716
da,miedo,2,4,0.5
uy,no,2,3,0.6666666666666666
xdd,>,2,2,1.0
momento,>,2,2,1.0
hoy,>,2,8,0.25
empiezan,>,2,2,1.0
si,vi,2,162,0.012345679012345678
a,siii,2,81,0.024691358024691357
cosas,>,2,5,0.4
las,cosas,2,17,0.11764705882352941
es,el,2,67,0.029850746268656716
<,non,2,1654,0.0012091898428053204
non,>,2,2,1.0
el,mas,2,43,0.046511627906976744
combi,>,2,2,1.0
haces,un,2,3,0.6666666666666666
me,muero,2,81,0.024691358024691357
ya,tengo,2,96,0.020833333333333332
yo,de,2,31,0.06451612903225806
bn,de,2,25,0.08
de,tarea,2,108,0.018518518518518517
<,hasta,2,1654,0.0012091898428053204
otra,semana,2,6,0.3333333333333333
ya,estaba,2,96,0.020833333333333332
un,bn,2,29,0.06896551724137931
siiii,tt,2,9,0.2222222222222222
ella,>,2,6,0.3333333333333333
esa,hora,2,5,0.4
un,juego,2,29,0.06896551724137931
jugar,>,2,5,0.4
me,haces,2,81,0.024691358024691357
<,aaa,2,1654,0.0012091898428053204
tu,q,2,16,0.125
o,como,2,22,0.09090909090909091
estaba,mimida,2,6,0.3333333333333333
<,yap,2,1654,0.0012091898428053204
una,casa,2,16,0.125
oye,>,2,8,0.25
a,esa,2,81,0.024691358024691357
yap,>,2,2,1.0
q,apurale,1,164,0.006097560975609756
refiero,a,1,1,1.0
vieron,>,1,2,0.5
loq,vieron,1,1,1.0
las,meovv,1,17,0.058823529411764705
topaste,a,1,1,1.0
joder,q,1,2,0.5
forever,>,1,1,1.0
<,topaste,1,1654,0.0006045949214026602
xciertooo,>,1,1,1.0
me,refiero,1,81,0.012345679012345678
<,xciertooo,1,1654,0.0006045949214026602
aaaaa,>,1,1,1.0
q,buen,1,164,0.006097560975609756
<,aaaaa,1,1654,0.0006045949214026602
de,metodos,1,108,0.009259259259259259
acaba,jajaj,1,3,0.3333333333333333
no,acaba,1,152,0.006578947368421052
tienes,el,1,5,0.2
de,las,1,108,0.009259259259259259
grupo,>,1,3,0.3333333333333333
buen,grupo,1,1,1.0
las,baemon,1,17,0.058823529411764705
del,que,1,8,0.125
escuela,?,1,6,0.16666666666666666
el,num,1,43,0.023255813953488372
sobrevalorada,en,1,1,1.0
punto,33,1,1,1.0
en,cuanto,1,54,0.018518518518518517
cuanto,a,1,3,0.3333333333333333
a,vocal,1,81,0.012345679012345678
kings,of,1,1,1.0
vocal,>,1,1,1.0
sea,si,1,8,0.125
es,buena,1,67,0.014925373134328358
q,kings,1,164,0.006097560975609756
tomen,su,1,1,1.0
pero,has,1,71,0.014084507042253521
yyy,yo,1,1,1.0
<,yyy,1,1654,0.0006045949214026602
strokes,>,1,1,1.0
has,escuchado,1,1,1.0
ya,tomen,1,96,0.010416666666666666
the,strokes,1,1,1.0
su,descanso,1,6,0.16666666666666666
descanso,chikas,1,1,1.0
meovv,?,1,2,0.5
of,leon,1,1,1.0
yo,digo,1,31,0.03225806451612903
programas,me,1,3,0.3333333333333333
de,forever,1,108,0.009259259259259259
de,nemonemo,1,108,0.009259259259259259
diaria,de,1,1,1.0
ahyeon,esta,1,1,1.0
dosis,diaria,1,1,1.0
la,dosis,1,74,0.013513513513513514
escuchaste,la,1,3,0.3333333333333333
num,3,1,1,1.0
3,del,1,2,0.5
esta,algo,1,25,0.04
algo,sobrevalorada,1,10,0.1
xcierto,",",1,1,1.0
aaaa,xcierto,1,8,0.125
del,punto,1,8,0.125
leon,>,1,1,1.0
q,ahyeon,1,164,0.006097560975609756
yo,joven,1,31,0.03225806451612903
apurale,>,1,1,1.0
q,tiene,1,164,0.006097560975609756
su,novia,1,6,0.16666666666666666
frio,?,1,1,1.0
novia,en,1,1,1.0
<,entonces,1,1654,0.0006045949214026602
hace,frio,1,3,0.3333333333333333
entonces,cuando,1,2,0.5
cuando,la,1,5,0.2
la,va,1,74,0.013513513513513514
jaja,y,1,5,0.2
problema,jaja,1,2,0.5
<,hace,1,1654,0.0006045949214026602
la,combi,1,74,0.013513513513513514
vengo,en,1,2,0.5
el,problema,1,43,0.023255813953488372
yo,vengo,1,31,0.03225806451612903
tiene,su,1,9,0.1111111111111111
me,salieron,1,81,0.012345679012345678
ver,se,1,6,0.16666666666666666
pues,>,1,8,0.125
<,similares,1,1654,0.0006045949214026602
similares,>,1,1,1.0
otros,>,1,3,0.3333333333333333
es,medio,1,67,0.014925373134328358
medio,canon,1,2,0.5
lo,normal,1,41,0.024390243902439025
normal,q,1,2,0.5
<,pasanos,1,1654,0.0006045949214026602
