Term 1,Term 2,Frequency of Bigram,Frequency of Context (Term 1),Conditional Probability
",",mañana,2,187,0.0106951871657754
nos,vamos,2,18,0.1111111111111111
ya,nos,2,87,0.022988505747126436
bien,jaja,2,25,0.08
cierto,",",2,5,0.4
holaa,oye,2,10,0.2
paso,?,2,6,0.3333333333333333
que,paso,2,200,0.01
chi,gracias,2,5,0.4
te,fue,2,39,0.05128205128205128
a,tu,2,147,0.013605442176870748
no,jajaja,2,102,0.0196078431372549
que,voy,2,200,0.01
en,un,2,52,0.038461538461538464
estaba,checando,2,3,0.6666666666666666
el,archivo,2,75,0.02666666666666667
que,según,2,200,0.01
<,este,2,501,0.003992015968063872
es,>,2,71,0.028169014084507043
jaja,yo,2,62,0.03225806451612903
yap,>,2,2,1.0
la,comunicación,2,88,0.022727272727272728
poner,en,2,8,0.25
a,poner,2,147,0.013605442176870748
los,ejercicios,2,45,0.044444444444444446
<,rayos,2,501,0.003992015968063872
en,grupo,2,52,0.038461538461538464
quieres,",",2,24,0.08333333333333333
de,eso,2,153,0.013071895424836602
<,le,2,501,0.003992015968063872
mañana,lo,2,15,0.13333333333333333
vavava,>,2,5,0.4
y,esto,2,86,0.023255813953488372
grupo,es,2,7,0.2857142857142857
yo,digo,2,25,0.08
este,>,2,7,0.2857142857142857
a,vavava,2,147,0.013605442176870748
están,?,2,3,0.6666666666666666
vavav,",",2,5,0.4
análisis,de,2,3,0.6666666666666666
foto,?,2,6,0.3333333333333333
a,vavav,2,147,0.013605442176870748
la,serie,2,88,0.022727272727272728
vavava,",",2,5,0.4
los,datos,2,45,0.044444444444444446
sería,como,2,8,0.25
usar,>,1,3,0.3333333333333333
eso,podemos,1,26,0.038461538461538464
que,los,1,200,0.005
a,combinar,1,147,0.006802721088435374
sí,",",1,6,0.16666666666666666
qué,de,1,5,0.2
pero,sí,1,58,0.017241379310344827
sería,eso,1,8,0.125
resumí,y,1,1,1.0
tomar,los,1,2,0.5
ya,ver,1,87,0.011494252873563218
lo,metí,1,115,0.008695652173913044
los,voy,1,45,0.022222222222222223
