Term 1,Term 2,Term 3,Trigram Frequency,Context Frequency,Conditional Probability
dices,eso,|,1,2,0.5
eso,|,|,7,7,1.0
|,|,Destinada,1,1565,0.0006389776357827476
|,Destinada,a,1,1,1.0
Destinada,a,tener,1,1,1.0
a,tener,dieces,1,1,1.0
tener,dieces,pq,1,1,1.0
dieces,pq,soy,1,1,1.0
pq,soy,un,1,1,1.0
soy,un,10/10,1,1,1.0
un,10/10,xdd,1,1,1.0
10/10,xdd,|,1,1,1.0
xdd,|,|,2,2,1.0
|,|,Uy,3,1565,0.0019169329073482429
|,Uy,no,3,3,1.0
Uy,no,",",2,3,0.6666666666666666
no,",",la,1,2,0.5
",",la,otra,1,2,0.5
otra,semana,|,1,2,0.5
|,|,La,9,1565,0.005750798722044728
|,La,vdd,2,9,0.2222222222222222
La,vdd,estan,1,2,0.5
vdd,estan,bn,1,1,1.0
estan,bn,zzz,1,1,1.0
bn,zzz,|,1,1,1.0
zzz,|,|,1,1,1.0
|,Mañana,tengo,1,5,0.2
Mañana,tengo,un,1,1,1.0
tengo,un,examen,1,2,0.5
un,examen,bn,1,2,0.5
examen,bn,dificil,1,1,1.0
bn,dificil,|,1,1,1.0
dificil,|,|,1,1,1.0
|,Es,lo,1,38,0.02631578947368421
Es,lo,q,1,1,1.0
lo,q,espero,1,6,0.16666666666666666
q,espero,|,1,1,1.0
espero,|,|,1,1,1.0
|,Ya,ni,1,63,0.015873015873015872
Ya,ni,me,1,1,1.0
ni,me,acordaba,1,1,1.0
me,acordaba,|,1,1,1.0
acordaba,|,|,1,1,1.0
|,Si,le,1,98,0.01020408163265306
Si,le,se,1,1,1.0
le,se,",",1,1,1.0
se,",",pero,1,2,0.5
",",pero,me,1,3,0.3333333333333333
pero,me,da,1,2,0.5
me,da,miedo,2,3,0.6666666666666666
da,miedo,no,1,2,0.5
miedo,no,acordarme,1,1,1.0
no,acordarme,en,1,1,1.0
acordarme,en,el,1,1,1.0
en,el,momento,1,6,0.16666666666666666
el,momento,|,1,1,1.0
momento,|,|,2,2,1.0
|,Aun,?,1,4,0.25
Aun,?,|,1,1,1.0
|,Pero,hablo,1,57,0.017543859649122806
Pero,hablo,de,1,1,1.0
hablo,de,los,1,1,1.0
de,los,nuestross,1,5,0.2
los,nuestross,|,1,1,1.0
nuestross,|,|,1,1,1.0
|,|,Dios,1,1565,0.0006389776357827476
|,Dios,kiera,1,1,1.0
Dios,kiera,|,1,1,1.0
kiera,|,|,1,1,1.0
|,|,Non,2,1565,0.0012779552715654952
