Term 1,Term 2,Term 3,Frequency,Context Frequency,Conditional Probability
>,<,cual,17,12341,0.0013775220808686492
quieres,jugar,algo,17,69,0.2463768115942029
<,y,eso,17,991,0.017154389505549948
discord,>,<,17,17,1.0
que,pedo,>,17,19,0.8947368421052632
<,ahora,si,17,71,0.23943661971830985
quedo,>,<,17,17,1.0
<,yo,digo,17,164,0.10365853658536585
<,pero,ya,17,345,0.04927536231884058
luego,>,<,17,17,1.0
>,<,siempre,17,12341,0.0013775220808686492
xdddd,>,<,17,17,1.0
f,>,<,17,17,1.0
>,<,una,17,12341,0.0013775220808686492
descansa,>,<,17,17,1.0
>,<,este,16,12341,0.001296491370229317
<,vas,a,16,21,0.7619047619047619
<,f,>,16,17,0.9411764705882353
>,<,hay,16,12341,0.001296491370229317
tengo,miedo,>,16,26,0.6153846153846154
<,ufff,men,16,53,0.3018867924528302
<,ahorita,te,16,97,0.16494845360824742
<,me,avisas,16,248,0.06451612903225806
este,>,<,16,16,1.0
<,pues,si,16,72,0.2222222222222222
que,si,me,16,119,0.13445378151260504
pendejo,>,<,16,16,1.0
<,ya,quedo,16,583,0.0274442538593482
<,y,también,16,991,0.016145307769929364
<,listo,>,16,33,0.48484848484848486
simón,>,<,16,16,1.0
a,la,escuela,16,112,0.14285714285714285
<,ptm,>,16,30,0.5333333333333333
<,y,lo,16,991,0.016145307769929364
mas,>,<,16,16,1.0
>,<,quiero,16,12341,0.001296491370229317
<,a,ps,15,264,0.056818181818181816
<,y,le,15,991,0.015136226034308779
me,va,a,15,30,0.5
<,yo,opino,15,164,0.09146341463414634
men,?,>,15,15,1.0
mañana,?,>,15,15,1.0
>,<,total,15,12341,0.0012154606595899846
>,<,jajaja,15,12341,0.0012154606595899846
>,<,2,15,12341,0.0012154606595899846
ricardo,>,<,15,15,1.0
>,<,fue,15,12341,0.0012154606595899846
>,<,feliz,15,12341,0.0012154606595899846
>,<,mmm,15,12341,0.0012154606595899846
porfa,>,<,15,15,1.0
algo,>,<,15,15,1.0
yo,opino,>,15,15,1.0
que,>,<,15,15,1.0
<,y,se,15,991,0.015136226034308779
<,y,pos,15,991,0.015136226034308779
comer,>,<,15,15,1.0
algo,?,>,15,15,1.0
<,a,que,15,264,0.056818181818181816
descansa,bro,>,15,16,0.9375
cosas,>,<,15,15,1.0
a,las,7,15,69,0.21739130434782608
<,aun,no,15,26,0.5769230769230769
stream,>,<,15,15,1.0
>,<,1,15,12341,0.0012154606595899846
historia,>,<,15,15,1.0
no,voy,a,15,16,0.9375
caigo,>,<,14,14,1.0
5,>,<,14,14,1.0
pq,?,>,14,14,1.0
de,que,me,14,106,0.1320754716981132
ahora,>,<,14,14,1.0
<,y,cuando,14,991,0.014127144298688193
directo,>,<,14,14,1.0
>,<,uffff,14,12341,0.0011344299489506524
mi,casa,>,14,26,0.5384615384615384
<,y,es,14,991,0.014127144298688193
aaaa,>,<,14,14,1.0
<,a,>,14,264,0.05303030303030303
<,ahorita,voy,14,97,0.14432989690721648
<,pq,si,14,208,0.0673076923076923
>,<,esto,14,12341,0.0011344299489506524
poco,>,<,14,14,1.0
1,>,<,14,14,1.0
<,simon,xd,14,184,0.07608695652173914
>,<,aaaa,14,12341,0.0011344299489506524
simon,xd,>,14,14,1.0
es,que,si,14,183,0.07650273224043716
mal,>,<,14,14,1.0
e,men,>,14,20,0.7
ocupado,?,>,13,14,0.9285714285714286
te,veo,en,13,17,0.7647058823529411
7,>,<,13,13,1.0
