Term 1,Term 2,Frequency,Context Frequency,Conditional Probability
el,grupo,2,43,0.046511627906976744
de,ellas,2,108,0.018518518518518517
ve,sp,2,7,0.2857142857142857
he,visto,2,8,0.25
del,año,2,8,0.25
tiene,25,2,9,0.2222222222222222
ya,estamos,2,96,0.020833333333333332
tarea,de,2,7,0.2857142857142857
van,a,2,2,1.0
ya,nada,2,96,0.020833333333333332
vamos,a,2,3,0.6666666666666666
le,entendi,2,18,0.1111111111111111
gracias,xd,2,21,0.09523809523809523
que,se,2,38,0.05263157894736842
va,y,2,18,0.1111111111111111
los,de,2,24,0.08333333333333333
me,puedes,2,81,0.024691358024691357
puedes,traer,2,5,0.4
los,programas,2,24,0.08333333333333333
eso,que,2,25,0.08
estan,las,2,7,0.2857142857142857
va,gracias,2,18,0.1111111111111111
o,como,2,22,0.09090909090909091
las,cosas,2,17,0.11764705882352941
a,los,2,81,0.024691358024691357
me,haces,2,81,0.024691358024691357
haces,un,2,3,0.6666666666666666
hoy,me,1,8,0.125
me,toco,1,81,0.012345679012345678
toco,tremendo,1,1,1.0
tremendo,maraton,1,1,1.0
maraton,de,1,1,1.0
hecho,jajajaj,1,8,0.125
jajajaj,nooo,1,51,0.0196078431372549
nooo,niyo,1,5,0.2
niyo,y,1,1,1.0
y,trngo,1,56,0.017857142857142856
trngo,un,1,1,1.0
tarea,vale,1,7,0.14285714285714285
vale,y,1,12,0.08333333333333333
luego,la,1,8,0.125
semana,ya,1,4,0.25
tengo,examenes,1,24,0.041666666666666664
examenes,cual,1,3,0.3333333333333333
cual,100000000,1,3,0.3333333333333333
100000000,peso,1,1,1.0
peso,jajajaj,1,1,1.0
cierto,ola,1,4,0.25
ola,ando,1,11,0.09090909090909091
ando,en,1,2,0.5
el,metro,1,43,0.023255813953488372
metro,apenas,1,1,1.0
apenas,es,1,3,0.3333333333333333
es,y,1,67,0.014925373134328358
y,si,1,56,0.017857142857142856
si,tengo,1,162,0.006172839506172839
tengo,libre,1,24,0.041666666666666664
libre,el,1,2,0.5
el,martes,1,43,0.023255813953488372
martes,tmb,1,1,1.0
tmb,el,1,11,0.09090909090909091
