Term 1,Term 2,Frequency,Context Frequency,Conditional Probability
a,vavav,2,146,0.0136986301369863
entonces,ya,2,24,0.08333333333333333
deja,veo,2,4,0.5
cómo,lo,2,5,0.4
lo,voy,2,115,0.017391304347826087
a,pasar,2,146,0.0136986301369863
ntp,>,2,3,0.6666666666666666
jajaja,por,2,76,0.02631578947368421
consejos,adicionales,2,4,0.5
<,lo,2,445,0.0044943820224719105
de,conocer,2,150,0.013333333333333334
conocer,a,2,2,1.0
por,eso,2,25,0.08
los,consejos,2,44,0.045454545454545456
a,vavava,2,146,0.0136986301369863
que,paso,2,198,0.010101010101010102
te,vayas,2,38,0.05263157894736842
ya,ahorita,2,87,0.022988505747126436
jajaj,no,2,25,0.08
<,jajajajaja,2,445,0.0044943820224719105
jajajajaja,no,2,4,0.5
es,cierto,2,67,0.029850746268656716
están,>,2,3,0.6666666666666666
ya,salí,2,87,0.022988505747126436
jajaja,ya,2,76,0.02631578947368421
a,celis,2,146,0.0136986301369863
xd,y,2,42,0.047619047619047616
<,voy,2,445,0.0044943820224719105
😅,>,2,2,1.0
el,pasillo,2,74,0.02702702702702703
por,el,2,25,0.08
la,tengo,2,84,0.023809523809523808
no,maaa,2,100,0.02
me,sale,2,33,0.06060606060606061
quedó,>,2,7,0.2857142857142857
a,los,2,146,0.0136986301369863
los,baños,2,44,0.045454545454545456
chi,gracias,2,5,0.4
el,modelo,2,74,0.02702702702702703
los,datos,2,44,0.045454545454545456
la,serie,2,84,0.023809523809523808
puse,eso,2,7,0.2857142857142857
se,refiere,2,39,0.05128205128205128
de,una,2,150,0.013333333333333334
pasas,las,1,9,0.1111111111111111
las,fotos,1,29,0.034482758620689655
fotos,o,1,1,1.0
o,vídeos,1,21,0.047619047619047616
vídeos,que,1,1,1.0
sacamos,de,1,2,0.5
de,hoy,1,150,0.006666666666666667
hoy,porfa,1,4,0.25
las,últimas,1,29,0.034482758620689655
últimas,del,1,1,1.0
del,28,1,32,0.03125
28,no,1,1,1.0
si,estén,1,146,0.00684931506849315
estén,bien,1,1,1.0
bien,jajaj,1,25,0.04
anteriores,si,1,2,0.5
si,tienes,1,146,0.00684931506849315
tienes,todos,1,6,0.16666666666666666
todos,es,1,4,0.25
me,falta,1,33,0.030303030303030304
falta,el,1,5,0.2
el,16,1,74,0.013513513513513514
16,19,1,1,1.0
19,27,1,1,1.0
27,y,1,1,1.0
y,los,1,85,0.011764705882352941
los,últimos,1,44,0.022727272727272728
últimos,2,1,1,1.0
2,del,1,7,0.14285714285714285
del,12,1,32,0.03125
12,jajaj,1,1,1.0
si,igual,1,146,0.00684931506849315
igual,anoté,1,13,0.07692307692307693
anoté,que,1,1,1.0
era,sustentabilidad,1,6,0.16666666666666666
sustentabilidad,>,1,1,1.0
pasas,mis,1,9,0.1111111111111111
mis,fotitos,1,2,0.5
fotitos,jajaja,1,1,1.0
jajaja,porfa,1,76,0.013157894736842105
porfa,:3,1,6,0.16666666666666666
sip,ahorita,1,65,0.015384615384615385
lo,paso,1,115,0.008695652173913044
irving,tendrás,1,8,0.125
tendrás,el,1,1,1.0
último,ejercicio,1,2,0.5
ejercicio,del,1,5,0.2
del,1,1,32,0.03125
1,del,1,2,0.5
del,problemario,1,32,0.03125
problemario,de,1,1,1.0
de,calculo,1,150,0.006666666666666667
calculo,y,1,1,1.0
el,5,1,74,0.013513513513513514
5,jajaja,1,3,0.3333333333333333
jaja,está,1,62,0.016129032258064516
bien,gracias,1,25,0.04
gracias,cuáles,1,29,0.034482758620689655
cuáles,son,1,1,1.0
son,los,1,5,0.2
los,que,1,44,0.022727272727272728
ya,tienes,1,87,0.011494252873563218
tienes,>,1,6,0.16666666666666666
a,va,1,146,0.00684931506849315
va,va,1,21,0.047619047619047616
gracias,ahorita,1,29,0.034482758620689655
ahorita,lo,1,19,0.05263157894736842
lo,veo,1,115,0.008695652173913044
<,https://meet.google.com/mox-fiad-xqi,1,445,0.0022471910112359553
https://meet.google.com/mox-fiad-xqi,>,1,1,1.0
holaaa,jeje,1,3,0.3333333333333333
jeje,feliz,1,2,0.5
feliz,día,1,1,1.0
día,irving,1,1,1.0
irving,te,1,8,0.125
te,quiero,1,38,0.02631578947368421
quiero,mucho,1,1,1.0
mucho,:3,1,4,0.25
:3,ya,1,34,0.029411764705882353
nos,vimos,1,18,0.05555555555555555
en,vacaciones,1,47,0.02127659574468085
vacaciones,pero,1,2,0.5
pero,cuando,1,57,0.017543859649122806
cuando,te,1,3,0.3333333333333333
te,vea,1,38,0.02631578947368421
vea,te,1,1,1.0
te,doy,1,38,0.02631578947368421
doy,tu,1,3,0.3333333333333333
tu,regalo,1,9,0.1111111111111111
regalo,atrasado,1,1,1.0
atrasado,☺,1,1,1.0
cierto,como,1,5,0.2
como,te,1,21,0.047619047619047616
fue,en,1,7,0.14285714285714285
qué,grupo,1,5,0.2
grupo,te,1,5,0.2
te,inscribiste,1,38,0.02631578947368421
inscribiste,>,1,1,1.0
entonces,nos,1,24,0.041666666666666664
nos,veremos,1,18,0.05555555555555555
veremos,en,1,1,1.0
en,las,1,47,0.02127659574468085
clases,de,1,2,0.5
checando,los,1,3,0.3333333333333333
los,grupos,1,44,0.022727272727272728
grupos,y,1,1,1.0
pues,estaba,1,35,0.02857142857142857
estaba,viendo,1,3,0.3333333333333333
viendo,que,1,2,0.5
pues,sería,1,35,0.02857142857142857
sería,que,1,8,0.125
que,dieras,1,198,0.005050505050505051
dieras,de,1,1,1.0
de,baja,1,150,0.006666666666666667
baja,progra,1,1,1.0
progra,para,1,1,1.0
para,ciencia,1,29,0.034482758620689655
ciencia,de,1,1,1.0
mañana,porque,1,15,0.06666666666666667
porque,aún,1,28,0.03571428571428571
aún,hay,1,5,0.2
hay,3,1,8,0.125
3,lugares,1,7,0.14285714285714285
lugares,>,1,1,1.0
también,que,1,9,0.1111111111111111
que,quitarás,1,198,0.005050505050505051
quitarás,la,1,1,1.0
de,algoritmos,1,150,0.006666666666666667
algoritmos,y,1,2,0.5
y,estructura,1,85,0.011764705882352941
estructura,de,1,1,1.0
el,2av2,1,74,0.013513513513513514
2av2,>,1,1,1.0
<,ahí,1,445,0.0022471910112359553
ahí,queda,1,10,0.1
queda,1,1,1,1.0
1,lugar,1,2,0.5
lugar,y,1,3,0.3333333333333333
así,saldrías,1,6,0.16666666666666666
saldrías,todos,1,1,1.0
todos,los,1,4,0.25
los,días,1,44,0.022727272727272728
días,a,1,1,1.0
a,las,1,146,0.00684931506849315
las,6,1,29,0.034482758620689655
mira,según,1,5,0.2
yo,seria,1,25,0.04
seria,así,1,1,1.0
así,ya,1,6,0.16666666666666666
ya,nada,1,87,0.011494252873563218
mas,checa,1,2,0.5
checa,que,1,2,0.5
no,espera,1,100,0.01
espera,no,1,1,1.0
tienes,algoritmos,1,6,0.16666666666666666
algoritmos,jajaj,1,2,0.5
sin,la,1,3,0.3333333333333333
de,verde,1,150,0.006666666666666667
verde,jajaj,1,1,1.0
<,jajajajjaa,1,445,0.0022471910112359553
jajajajjaa,si,1,1,1.0
si,está,1,146,0.00684931506849315
bien,porque,1,25,0.04
porque,en,1,28,0.03571428571428571
en,si,1,47,0.02127659574468085
no,cambia,1,100,0.01
cambia,nada,1,1,1.0
solo,cambias,1,22,0.045454545454545456
