Term 1,Term 2,Frequency,Context Frequency,Conditional Probability
ves,que,13,31,0.41935483870967744
Y,le,13,876,0.014840182648401826
a,probar,13,1574,0.008259212198221092
la,noche,13,1314,0.00989345509893455
<,Fue,13,12342,0.0010533138875384864
ya,es,13,649,0.020030816640986132
como,se,13,346,0.03757225433526012
mi,>,13,556,0.023381294964028777
Nmms,>,13,38,0.34210526315789475
<,we,13,12342,0.0010533138875384864
con,ella,13,414,0.03140096618357488
Y,es,13,876,0.014840182648401826
Ptm,>,13,22,0.5909090909090909
el,genshin,13,1410,0.009219858156028368
genshin,>,13,26,0.5
Pq,si,13,175,0.07428571428571429
wacho,>,13,18,0.7222222222222222
<,total,13,12342,0.0010533138875384864
y,pos,13,1130,0.011504424778761062
mi,abue,13,556,0.023381294964028777
pero,si,13,239,0.05439330543933055
no,voy,12,983,0.012207527975584944
el,examen,12,1410,0.00851063829787234
<,Mmmm,12,12342,0.0009722897423432182
yo,me,12,163,0.0736196319018405
el,halo,12,1410,0.00851063829787234
jugar,hoy,12,161,0.07453416149068323
como,te,12,346,0.03468208092485549
puedes,>,12,42,0.2857142857142857
a,poner,12,1574,0.007623888182973317
eso,es,12,188,0.06382978723404255
cansado,>,12,15,0.8
el,otro,12,1410,0.00851063829787234
Y,mi,12,876,0.0136986301369863
6,>,12,41,0.2926829268292683
pasa,>,12,37,0.32432432432432434
<,por,12,12342,0.0009722897423432182
le,di,12,325,0.036923076923076927
para,hacer,12,375,0.032
que,a,12,2087,0.005749880210828941
ya,que,12,649,0.01848998459167951
y,como,12,1130,0.010619469026548672
que,mi,12,2087,0.005749880210828941
cel,>,12,19,0.631578947368421
Al,rato,12,42,0.2857142857142857
pero,que,12,239,0.0502092050209205
el,terraria,12,1410,0.00851063829787234
el,modo,12,1410,0.00851063829787234
ahora,>,12,81,0.14814814814814814
mas,que,12,197,0.06091370558375635
se,va,12,738,0.016260162601626018
<,la,12,12342,0.0009722897423432182
la,madre,12,1314,0.0091324200913242
Te,digo,12,75,0.16
me,dio,12,1301,0.009223674096848577
te,lo,12,379,0.0316622691292876
porfa,>,12,12,1.0
<,yo,12,12342,0.0009722897423432182
la,chingada,12,1314,0.0091324200913242
es,mas,12,569,0.0210896309314587
hora,>,12,57,0.21052631578947367
horas,>,12,19,0.631578947368421
JAJAJAJAJA,>,12,12,1.0
tal,se,12,75,0.16
ve,>,12,69,0.17391304347826086
que,hice,12,2087,0.005749880210828941
no,xd,12,983,0.012207527975584944
momento,>,12,30,0.4
que,ver,12,2087,0.005749880210828941
o,que,12,197,0.06091370558375635
me,gusta,12,1301,0.009223674096848577
<,ahi,12,12342,0.0009722897423432182
igual,>,12,59,0.2033898305084746
cuando,me,12,133,0.09022556390977443
chido,>,12,21,0.5714285714285714
No,tengo,12,362,0.03314917127071823
mi,lap,12,556,0.02158273381294964
de,fnaf,12,1757,0.006829823562891292
tu,y,11,131,0.08396946564885496
todos,los,11,42,0.2619047619047619
voy,>,11,245,0.044897959183673466
<,Una,11,12342,0.00089126559714795
8,>,11,37,0.2972972972972973
10,>,11,40,0.275
Como,que,11,75,0.14666666666666667
Y,yo,11,876,0.012557077625570776
